year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2013,tt1815862,After Earth,notalk,notalk,FAIL,130000000,60522097.0,244373198.0,2013FAIL,130000000,60522097.0,244373198.0,1.0,1.0,1815862,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",PG-13,True,English,USA,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)",33.0,5.0,M. Night Shyamalan,31 May 2013,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz","Action, Adventure, Sci-Fi",3 wins & 5 nominations.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg,"108,264",
2013,tt2334873,Blue Jasmine,ok-disagree,ok,PASS,18000000,33345833.0,68447831.0,2013PASS,18000000,33345833.0,68447831.0,1.0,1.0,2334873,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",PG-13,True,English,USA,Woody Allen,78.0,7.4,Woody Allen,23 Aug 2013,"Cate Blanchett, Joy Carlin, Richard Conti, Glen Caspillo","Comedy, Drama",Won 1 Oscar. Another 24 wins & 36 nominations.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0ODk5MzEyMV5BMl5BanBnXkFtZTcwMzI0MDY1OQ@@._V1_SX300.jpg,"64,127",
2013,tt2002718,Machete Kills,ok,ok,PASS,2000000,8008161.0,9408161.0,2013PASS,2000000,8008161.0,9408161.0,1.0,1.0,2002718,The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,R,True,"English, Spanish","Russia, USA","Kyle Ward (screenplay), Robert Rodriguez (story), Marcel Rodriguez (story)",41.0,5.8,Robert Rodriguez,11 Oct 2013,"Danny Trejo, Mel Gibson, Demian Bichir, Amber Heard","Action, Comedy, Crime",1 nomination.,107 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA2MzUxMTM3M15BMl5BanBnXkFtZTgwMzA2NzkxMDE@._V1_SX300.jpg,"30,043",
2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,200000000,234770996.0,489570996.0,2013PASS,200000000,234770996.0,489570996.0,1.0,1.0,1623205,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.,PG,True,English,USA,"Mitchell Kapner (screenplay), David Lindsay-Abaire (screenplay), Mitchell Kapner (screen story), L. Frank Baum (""Oz"" works)",44.0,6.4,Sam Raimi,08 Mar 2013,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams","Adventure, Family, Fantasy",3 wins & 24 nominations.,130 min,movie,http://ia.media-imdb.com/images/M/MV5BMjMyMzQ1ODM1MF5BMl5BanBnXkFtZTcwMjE2MTQxOQ@@._V1_SX300.jpg,"135,860",
2013,tt1979320,Rush,notalk,notalk,FAIL,38000000,26947624.0,43047624.0,2013FAIL,38000000,26947624.0,43047624.0,1.0,1.0,1979320,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,R,True,"English, German, Italian, French","USA, Germany, UK",Peter Morgan,75.0,8.3,Ron Howard,27 Sep 2013,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara","Action, Biography, Drama",Nominated for 2 Golden Globes. Another 4 wins & 33 nominations.,123 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQyMDE0MTY0OV5BMl5BanBnXkFtZTcwMjI2OTI0OQ@@._V1_SX300.jpg,"140,946",
2013,tt2053463,Side Effects,ok,ok,PASS,30000000,32172757.0,60288363.0,2013PASS,30000000,32172757.0,60288363.0,1.0,1.0,2053463,A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.,R,True,"English, French",USA,Scott Z. Burns,75.0,7.1,Steven Soderbergh,08 Feb 2013,"Rooney Mara, Carmen Pelaez, Marin Ireland, Channing Tatum","Crime, Drama, Thriller",2 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc2MzY0NDAwOF5BMl5BanBnXkFtZTcwMTE1Mzc4OA@@._V1_SX300.jpg,"102,888",
2013,tt2193215,The Counselor,ok,ok,PASS,25000000,16973715.0,70373715.0,2013PASS,25000000,16973715.0,70373715.0,1.0,1.0,2193215,A lawyer finds himself in over his head when he gets involved in drug trafficking.,R,True,English,"USA, UK",Cormac McCarthy,48.0,5.5,Ridley Scott,25 Oct 2013,"Michael Fassbender, Penélope Cruz, Cameron Diaz, Javier Bardem","Crime, Drama, Thriller",2 nominations.,117 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc3ODk0MTY0N15BMl5BanBnXkFtZTgwOTU2MTEzMDE@._V1_SX300.jpg,"38,384",
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk-disagree,notalk,FAIL,250000000,257397516.0,937397516.0,2013FAIL,250000000,257397516.0,937397516.0,1.0,1.0,1170358,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",PG-13,True,English,"USA, New Zealand","Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)",66.0,8.2,Peter Jackson,13 Dec 2013,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","Adventure, Fantasy",Nominated for 3 Oscars. Another 3 wins & 27 nominations.,161 min,movie,http://ia.media-imdb.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,"224,066",
2013,tt0993846,The Wolf of Wall Street,notalk-disagree,notalk,FAIL,100000000,115702857.0,365702857.0,2013FAIL,100000000,115702857.0,365702857.0,1.0,1.0,993846,"Based on the true story of Jordan Belfort, from his rise to a wealthy stockbroker living the high life to his fall involving crime, corruption and the federal government.",R,True,"English, French",USA,"Terence Winter (screenplay), Jordan Belfort (book)",75.0,8.5,Martin Scorsese,25 Dec 2013,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Biography, Comedy, Crime",Nominated for 5 Oscars. Another 17 wins & 62 nominations.,180 min,movie,http://ia.media-imdb.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,"256,980",
2013,tt1430132,The Wolverine,ok,ok,PASS,115000000,132556852.0,416456852.0,2013PASS,115000000,132556852.0,416456852.0,1.0,1.0,1430132,"When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",PG-13,True,"English, Japanese","USA, UK","Mark Bomback (screenplay), Scott Frank (screenplay)",60.0,6.8,James Mangold,26 Jul 2013,"Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada","Action, Adventure, Fantasy",1 win & 5 nominations.,126 min,movie,http://ia.media-imdb.com/images/M/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_SX300.jpg,"187,381",
2013,tt1924429,Trance,nowomen,nowomen,FAIL,16000000,2322593.0,22594052.0,2013FAIL,16000000,2322593.0,22594052.0,1.0,1.0,1924429,An art auctioneer who has become mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.,R,True,"English, French","UK, France","Joe Ahearne (screenplay), John Hodge (screenplay), Joe Ahearne (story)",61.0,7.0,Danny Boyle,27 Mar 2013,"James McAvoy, Vincent Cassel, Rosario Dawson, Danny Sapani","Crime, Drama, Mystery",4 wins & 2 nominations.,101 min,movie,http://ia.media-imdb.com/images/M/MV5BMjMzNjU1MTg5NF5BMl5BanBnXkFtZTcwMTExMTcwOQ@@._V1_SX300.jpg,"60,795",
2013,tt2334879,White House Down,men,men,FAIL,150000000,73103784.0,205440387.0,2013FAIL,150000000,73103784.0,205440387.0,1.0,1.0,2334879,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",PG-13,True,English,USA,James Vanderbilt,52.0,6.4,Roland Emmerich,28 Jun 2013,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke","Action, Drama, Thriller",1 win & 6 nominations.,131 min,movie,http://ia.media-imdb.com/images/M/MV5BMTAyNzQyNTcwNjVeQTJeQWpwZ15BbWU3MDAwOTQ4Nzk@._V1_SX300.jpg,"90,549",
2012,tt1907668,Flight,dubious-disagree,dubious,FAIL,31000000,93772375.0,161772375.0,2012FAIL,31453796,95145068.0,164140491.0,1.0,1.0,1907668,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",R,True,English,USA,John Gatins,76.0,7.3,Robert Zemeckis,02 Nov 2012,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards","Drama, Thriller",Nominated for 2 Oscars. Another 11 wins & 31 nominations.,138 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,"193,334",
2012,tt1142977,Frankenweenie,nowomen-disagree,nowomen,FAIL,39000000,35287788.0,81150788.0,2012FAIL,39570904,35804351.0,82338719.0,1.0,1.0,1142977,"Young Victor conducts a science experiment to bring his beloved dog Sparky back to life, only to face unintended, sometimes monstrous, consequences.",PG,True,English,USA,"Leonard Ripps, Tim Burton (original idea), John August (screenplay)",74.0,7.0,Tim Burton,05 Oct 2012,"Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan","Animation, Comedy, Family",Nominated for 1 Oscar. Another 12 wins & 27 nominations.,87 min,movie,http://ia.media-imdb.com/images/M/MV5BMjIxODY3MjEwNV5BMl5BanBnXkFtZTcwOTMzNjc4Nw@@._V1_SX300.jpg,"52,987",
2012,tt0443272,Lincoln,ok-disagree,ok,PASS,65000000,182207973.0,273000960.0,2012PASS,65951507,184875236.0,276997302.0,1.0,1.0,443272,"As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield and as he fights with many inside his own cabinet on the decision to emancipate the slaves.",PG-13,True,English,USA,"Tony Kushner (screenplay), Doris Kearns Goodwin (book)",86.0,7.5,Steven Spielberg,16 Nov 2012,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","Biography, Drama, History",Won 2 Oscars. Another 63 wins & 115 nominations.,150 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,"146,470",
2012,tt1345836,The Dark Knight Rises,notalk-disagree,notalk,FAIL,275000000,448139099.0,1079343943.0,2012FAIL,279025606,454699213.0,1095143990.0,1.0,1.0,1345836,"Eight years on, a new evil rises from where the Batman and Commissioner Gordon tried to bury it, causing the Batman to resurface and fight to protect Gotham City... the very city which brands him an enemy.",PG-13,True,English,"USA, UK","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (creator)",78.0,8.6,Christopher Nolan,20 Jul 2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Action, Crime, Thriller",Nominated for 1 BAFTA Film Award. Another 28 wins & 64 nominations.,165 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,"753,594",
2012,tt0903624,The Hobbit: An Unexpected Journey,nowomen-disagree,nowomen,FAIL,250000000,303003568.0,1014703568.0,2012FAIL,253659641,307439106.0,1029557373.0,1.0,1.0,903624,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",PG-13,True,English,"USA, New Zealand","Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)",58.0,8.1,Peter Jackson,14 Dec 2012,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","Adventure, Fantasy",Nominated for 3 Oscars. Another 10 wins & 44 nominations.,169 min,movie,http://ia.media-imdb.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,"435,346",
2011,tt1598778,Contagion,ok-disagree,ok,PASS,60000000,75658097.0,137551594.0,2011PASS,62141447,78358394.0,142460919.0,1.0,1.0,1598778,The CDC races against time to develop a vaccine against an extremely lethal virus.,PG-13,True,"English, Mandarin, Cantonese","USA, United Arab Emirates",Scott Z. Burns,70.0,6.7,Steven Soderbergh,09 Sep 2011,"Marion Cotillard, Matt Damon, Laurence Fishburne, Jude Law","Drama, Sci-Fi, Thriller",2 wins & 6 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3MDk5MDc3OV5BMl5BanBnXkFtZTcwNzAyNTg0Ng@@._V1_SX300.jpg,"146,589",
2011,tt1133985,Green Lantern,notalk-disagree,notalk,FAIL,200000000,116601172.0,231201172.0,2011FAIL,207138157,120762760.0,239452924.0,1.0,1.0,1133985,A test pilot is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force.,PG-13,True,English,USA,"Greg Berlanti (screenplay), Michael Green (screenplay), Marc Guggenheim (screenplay), Michael Goldenberg (screenplay), Greg Berlanti (screen story), Michael Green (screen story), Marc Guggenheim (screen story)",39.0,5.7,Martin Campbell,17 Jun 2011,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong","Action, Adventure, Sci-Fi",1 win & 2 nominations.,114 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMyMTg3OTM5Ml5BMl5BanBnXkFtZTcwNzczMjEyNQ@@._V1_SX300.jpg,"169,039",
2011,tt1506999,Haywire,nowomen-disagree,nowomen,FAIL,23000000,18942396.0,22176190.0,2011FAIL,23820888,19618465.0,22967676.0,1.0,1.0,1506999,A black ops super soldier seeks payback after she is betrayed and set up during a mission.,R,True,"English, Spanish","USA, Ireland",Lem Dobbs,67.0,5.8,Steven Soderbergh,20 Jan 2012,"Gina Carano, Michael Angarano, Channing Tatum, Debby Lynn Ross","Action, Thriller",5 nominations.,93 min,movie,http://ia.media-imdb.com/images/M/MV5BMjI2MjIxOTUwN15BMl5BanBnXkFtZTcwNDM5NjcxNw@@._V1_SX300.jpg,"60,876",
