year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,200000000,234770996.0,489570996.0,2013PASS,200000000,234770996.0,489570996.0,1.0,1.0,1623205,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.,PG,True,English,USA,"Mitchell Kapner (screenplay), David Lindsay-Abaire (screenplay), Mitchell Kapner (screen story), L. Frank Baum (""Oz"" works)",44.0,6.4,Sam Raimi,08 Mar 2013,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams","Adventure, Family, Fantasy",3 wins & 24 nominations.,130 min,movie,http://ia.media-imdb.com/images/M/MV5BMjMyMzQ1ODM1MF5BMl5BanBnXkFtZTcwMjE2MTQxOQ@@._V1_SX300.jpg,"135,860",
2013,tt2053463,Side Effects,ok,ok,PASS,30000000,32172757.0,60288363.0,2013PASS,30000000,32172757.0,60288363.0,1.0,1.0,2053463,A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.,R,True,"English, French",USA,Scott Z. Burns,75.0,7.1,Steven Soderbergh,08 Feb 2013,"Rooney Mara, Carmen Pelaez, Marin Ireland, Channing Tatum","Crime, Drama, Thriller",2 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc2MzY0NDAwOF5BMl5BanBnXkFtZTcwMTE1Mzc4OA@@._V1_SX300.jpg,"102,888",
2013,tt2193215,The Counselor,ok,ok,PASS,25000000,16973715.0,70373715.0,2013PASS,25000000,16973715.0,70373715.0,1.0,1.0,2193215,A lawyer finds himself in over his head when he gets involved in drug trafficking.,R,True,English,"USA, UK",Cormac McCarthy,48.0,5.5,Ridley Scott,25 Oct 2013,"Michael Fassbender, Penélope Cruz, Cameron Diaz, Javier Bardem","Crime, Drama, Thriller",2 nominations.,117 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc3ODk0MTY0N15BMl5BanBnXkFtZTgwOTU2MTEzMDE@._V1_SX300.jpg,"38,384",
2013,tt0993846,The Wolf of Wall Street,notalk-disagree,notalk,FAIL,100000000,115702857.0,365702857.0,2013FAIL,100000000,115702857.0,365702857.0,1.0,1.0,993846,"Based on the true story of Jordan Belfort, from his rise to a wealthy stockbroker living the high life to his fall involving crime, corruption and the federal government.",R,True,"English, French",USA,"Terence Winter (screenplay), Jordan Belfort (book)",75.0,8.5,Martin Scorsese,25 Dec 2013,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Biography, Comedy, Crime",Nominated for 5 Oscars. Another 17 wins & 62 nominations.,180 min,movie,http://ia.media-imdb.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,"256,980",
2012,tt1907668,Flight,dubious-disagree,dubious,FAIL,31000000,93772375.0,161772375.0,2012FAIL,31453796,95145068.0,164140491.0,1.0,1.0,1907668,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",R,True,English,USA,John Gatins,76.0,7.3,Robert Zemeckis,02 Nov 2012,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards","Drama, Thriller",Nominated for 2 Oscars. Another 11 wins & 31 nominations.,138 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,"193,334",
2012,tt1142977,Frankenweenie,nowomen-disagree,nowomen,FAIL,39000000,35287788.0,81150788.0,2012FAIL,39570904,35804351.0,82338719.0,1.0,1.0,1142977,"Young Victor conducts a science experiment to bring his beloved dog Sparky back to life, only to face unintended, sometimes monstrous, consequences.",PG,True,English,USA,"Leonard Ripps, Tim Burton (original idea), John August (screenplay)",74.0,7.0,Tim Burton,05 Oct 2012,"Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan","Animation, Comedy, Family",Nominated for 1 Oscar. Another 12 wins & 27 nominations.,87 min,movie,http://ia.media-imdb.com/images/M/MV5BMjIxODY3MjEwNV5BMl5BanBnXkFtZTcwOTMzNjc4Nw@@._V1_SX300.jpg,"52,987",
2012,tt0443272,Lincoln,ok-disagree,ok,PASS,65000000,182207973.0,273000960.0,2012PASS,65951507,184875236.0,276997302.0,1.0,1.0,443272,"As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield and as he fights with many inside his own cabinet on the decision to emancipate the slaves.",PG-13,True,English,USA,"Tony Kushner (screenplay), Doris Kearns Goodwin (book)",86.0,7.5,Steven Spielberg,16 Nov 2012,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","Biography, Drama, History",Won 2 Oscars. Another 63 wins & 115 nominations.,150 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,"146,470",
2011,tt1598778,Contagion,ok-disagree,ok,PASS,60000000,75658097.0,137551594.0,2011PASS,62141447,78358394.0,142460919.0,1.0,1.0,1598778,The CDC races against time to develop a vaccine against an extremely lethal virus.,PG-13,True,"English, Mandarin, Cantonese","USA, United Arab Emirates",Scott Z. Burns,70.0,6.7,Steven Soderbergh,09 Sep 2011,"Marion Cotillard, Matt Damon, Laurence Fishburne, Jude Law","Drama, Sci-Fi, Thriller",2 wins & 6 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3MDk5MDc3OV5BMl5BanBnXkFtZTcwNzAyNTg0Ng@@._V1_SX300.jpg,"146,589",
2011,tt1506999,Haywire,nowomen-disagree,nowomen,FAIL,23000000,18942396.0,22176190.0,2011FAIL,23820888,19618465.0,22967676.0,1.0,1.0,1506999,A black ops super soldier seeks payback after she is betrayed and set up during a mission.,R,True,"English, Spanish","USA, Ireland",Lem Dobbs,67.0,5.8,Steven Soderbergh,20 Jan 2012,"Gina Carano, Michael Angarano, Channing Tatum, Debby Lynn Ross","Action, Thriller",5 nominations.,93 min,movie,http://ia.media-imdb.com/images/M/MV5BMjI2MjIxOTUwN15BMl5BanBnXkFtZTcwNDM5NjcxNw@@._V1_SX300.jpg,"60,876",
2011,tt0970179,Hugo,dubious,dubious,FAIL,180000000,73864507.0,185033215.0,2011FAIL,186424342,76500789.0,191637196.0,1.0,1.0,970179,"Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",PG,True,English,USA,"John Logan (screenplay), Brian Selznick (book)",83.0,7.6,Martin Scorsese,23 Nov 2011,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz","Adventure, Drama, Family",Won 5 Oscars. Another 45 wins & 103 nominations.,126 min,movie,http://ia.media-imdb.com/images/M/MV5BMjAzNzk5MzgyNF5BMl5BanBnXkFtZTcwOTE4NDU5Ng@@._V1_SX300.jpg,"189,943",
